row,col,label,x_center,y_center,multiplier
0,0,ful,-4.7050000000,4.7050000000,1.0000004432
0,1,ful,-3.4450000000,4.7050000000,1.0000004432
0,2,ful,-2.1850000000,4.7050000000,1.0000004432
0,3,fuh,-0.9250000000,4.7050000000,1.0000004432
0,4,fuh,0.3350000000,4.7050000000,1.0000004432
0,5,fuh,1.5950000000,4.7050000000,1.0000004432
0,6,fuh,2.8550000000,4.7050000000,1.0000004432
0,7,fuh,4.1150000000,4.7050000000,1.0000004432
0,8,fuh,5.1988161543,4.7050000000,2.0000008864
1,0,ful,-4.7050000000,3.4450000000,1.0000004432
1,1,ful,-3.4450000000,3.4450000000,1.0000004432
1,2,fuh,-2.1850000000,3.4450000000,1.0000004432
1,3,fuh,-0.9250000000,3.4450000000,1.0000004432
1,4,fuh,0.3350000000,3.4450000000,1.0000004432
1,5,fuh,1.5950000000,3.4450000000,1.0000004432
1,6,fuh,2.8550000000,3.4450000000,1.0000004432
1,7,fuh,4.1150000000,3.4450000000,1.0000004432
1,8,fuh,5.1988161543,3.4450000000,2.0000008864
2,0,ful,-4.7050000000,2.1850000000,1.0000004432
2,1,fuh,-3.4450000000,2.1850000000,1.0000004432
2,2,fuh,-2.1850000000,2.1850000000,1.0000004432
2,3,fuh,-0.9250000000,2.1850000000,1.0000004432
2,4,fuh,0.3350000000,2.1850000000,1.0000004432
2,5,p,1.5950000000,2.1850000000,0.9999997585
2,6,fuh,2.8550000000,2.1850000000,1.0000004432
2,7,fuh,4.1150000000,2.1850000000,1.0000004432
2,8,p,5.1681168654,2.1850000000,0.9522243222
3,0,fuh,-4.7050000000,0.9250000000,1.0000004432
3,1,fuh,-3.4450000000,0.9250000000,1.0000004432
3,2,fuh,-2.1850000000,0.9250000000,1.0000004432
3,3,p,-0.9250000000,0.9250000000,0.9999997585
3,4,fuh,0.3350000000,0.9250000000,1.0000004432
3,5,fuh,1.5950000000,0.9250000000,1.0000004432
3,6,fuh,2.8550000000,0.9250000000,1.0000004432
3,7,fuh,4.1150000000,0.9250000000,1.0000004432
3,8,fuh,5.1988161543,0.9250000000,2.0000008864
4,0,fuh,-4.7050000000,-0.3350000000,1.0000004432
4,1,fuh,-3.4450000000,-0.3350000000,1.0000004432
4,2,fuh,-2.1850000000,-0.3350000000,1.0000004432
4,3,fuh,-0.9250000000,-0.3350000000,1.0000004432
4,4,fuh,0.3350000000,-0.3350000000,1.0000004432
4,5,fuh,1.5950000000,-0.3350000000,1.0000004432
4,6,fuh,2.8550000000,-0.3350000000,1.0000004432
4,7,fuh,4.1150000000,-0.3350000000,1.0000004432
4,8,fuh,5.1988161543,-0.3350000000,2.0000008864
5,0,fuh,-4.7050000000,-1.5950000000,1.0000004432
5,1,fuh,-3.4450000000,-1.5950000000,1.0000004432
5,2,p,-2.1850000000,-1.5950000000,0.9999997585
5,3,fuh,-0.9250000000,-1.5950000000,1.0000004432
5,4,fuh,0.3350000000,-1.5950000000,1.0000004432
5,5,p,1.5950000000,-1.5950000000,0.9999997585
5,6,fuh,2.8550000000,-1.5950000000,1.0000004432
5,7,fuh,4.1150000000,-1.5950000000,1.0000004432
5,8,p,5.1681168654,-1.5950000000,0.9522243222
6,0,fuh,-4.7050000000,-2.8550000000,1.0000004432
6,1,fuh,-3.4450000000,-2.8550000000,1.0000004432
6,2,fuh,-2.1850000000,-2.8550000000,1.0000004432
6,3,fuh,-0.9250000000,-2.8550000000,1.0000004432
6,4,fuh,0.3350000000,-2.8550000000,1.0000004432
6,5,fuh,1.5950000000,-2.8550000000,1.0000004432
6,6,fuh,2.8550000000,-2.8550000000,1.0000004432
6,7,fuh,4.1150000000,-2.8550000000,1.0000004432
6,8,fuh,5.1988161543,-2.8550000000,2.0000008864
7,0,fuh,-4.7050000000,-4.1150000000,1.0000004432
7,1,fuh,-3.4450000000,-4.1150000000,1.0000004432
7,2,fuh,-2.1850000000,-4.1150000000,1.0000004432
7,3,fuh,-0.9250000000,-4.1150000000,1.0000004432
7,4,fuh,0.3350000000,-4.1150000000,1.0000004432
7,5,fuh,1.5950000000,-4.1150000000,1.0000004432
7,6,fuh,2.8550000000,-4.1150000000,1.0000004432
7,7,fuh,4.1150000000,-4.1150000000,1.0000004432
7,8,ful,5.1988161543,-4.1150000000,2.0000008864
8,0,fuh,-4.7050000000,-5.2082225971,2.0000008864
8,1,fuh,-3.4450000000,-5.2082225971,2.0000008864
8,2,p,-2.1850000000,-5.1803235338,0.9522243222
8,3,fuh,-0.9250000000,-5.2082225971,2.0000008864
8,4,fuh,0.3350000000,-5.2082225971,2.0000008864
8,5,p,1.5950000000,-5.1803235338,0.9522243222
8,6,fuh,2.8550000000,-5.2082225971,2.0000008864
8,7,ful,4.1150000000,-5.2082225971,2.0000008864
8,8,it,5.1722098948,-5.1828441327,0.9999999952
