row,col,label,x_center,y_center,multiplier
0,0,fu,-4.7050000000,4.7050000000,1.0000004432
0,1,fu,-3.4450000000,4.7050000000,1.0000004432
0,2,fu,-2.1850000000,4.7050000000,1.0000004432
0,3,fu,-0.9250000000,4.7050000000,1.0000004432
0,4,fu,0.3350000000,4.7050000000,1.0000004432
0,5,fu,1.5950000000,4.7050000000,1.0000004432
0,6,fu,2.8550000000,4.7050000000,1.0000004432
0,7,fu,4.1150000000,4.7050000000,1.0000004432
0,8,fu,5.1988161543,4.7050000000,2.0000008864
1,0,fu,-4.7050000000,3.4450000000,1.0000004432
1,1,fu,-3.4450000000,3.4450000000,1.0000004432
1,2,fu,-2.1850000000,3.4450000000,1.0000004432
1,3,fu,-0.9250000000,3.4450000000,1.0000004432
1,4,fu,0.3350000000,3.4450000000,1.0000004432
1,5,gd,1.5950000000,3.4450000000,1.0000004432
1,6,fu,2.8550000000,3.4450000000,1.0000004432
1,7,fu,4.1150000000,3.4450000000,1.0000004432
1,8,fu,5.1988161543,3.4450000000,2.0000008864
2,0,fu,-4.7050000000,2.1850000000,1.0000004432
2,1,fu,-3.4450000000,2.1850000000,1.0000004432
2,2,gd,-2.1850000000,2.1850000000,1.0000004432
2,3,fu,-0.9250000000,2.1850000000,1.0000004432
2,4,fu,0.3350000000,2.1850000000,1.0000004432
2,5,gt,1.5950000000,2.1850000000,0.9999998258
2,6,fu,2.8550000000,2.1850000000,1.0000004432
2,7,fu,4.1150000000,2.1850000000,1.0000004432
2,8,gt,5.1720478526,2.1850000000,1.9999996516
3,0,fu,-4.7050000000,0.9250000000,1.0000004432
3,1,fu,-3.4450000000,0.9250000000,1.0000004432
3,2,fu,-2.1850000000,0.9250000000,1.0000004432
3,3,gt,-0.9250000000,0.9250000000,0.9999998258
3,4,fu,0.3350000000,0.9250000000,1.0000004432
3,5,fu,1.5950000000,0.9250000000,1.0000004432
3,6,fu,2.8550000000,0.9250000000,1.0000004432
3,7,fu,4.1150000000,0.9250000000,1.0000004432
3,8,gd,5.1988161543,0.9250000000,2.0000008864
4,0,fu,-4.7050000000,-0.3350000000,1.0000004432
4,1,fu,-3.4450000000,-0.3350000000,1.0000004432
4,2,fu,-2.1850000000,-0.3350000000,1.0000004432
4,3,fu,-0.9250000000,-0.3350000000,1.0000004432
4,4,gd,0.3350000000,-0.3350000000,1.0000004432
4,5,fu,1.5950000000,-0.3350000000,1.0000004432
4,6,fu,2.8550000000,-0.3350000000,1.0000004432
4,7,fu,4.1150000000,-0.3350000000,1.0000004432
4,8,fu,5.1988161543,-0.3350000000,2.0000008864
5,0,fu,-4.7050000000,-1.5950000000,1.0000004432
5,1,gd,-3.4450000000,-1.5950000000,1.0000004432
5,2,gt,-2.1850000000,-1.5950000000,0.9999998258
5,3,fu,-0.9250000000,-1.5950000000,1.0000004432
5,4,fu,0.3350000000,-1.5950000000,1.0000004432
5,5,gt,1.5950000000,-1.5950000000,0.9999998258
5,6,fu,2.8550000000,-1.5950000000,1.0000004432
5,7,fu,4.1150000000,-1.5950000000,1.0000004432
5,8,gt,5.1720478526,-1.5950000000,1.9999996516
6,0,fu,-4.7050000000,-2.8550000000,1.0000004432
6,1,fu,-3.4450000000,-2.8550000000,1.0000004432
6,2,fu,-2.1850000000,-2.8550000000,1.0000004432
6,3,fu,-0.9250000000,-2.8550000000,1.0000004432
6,4,fu,0.3350000000,-2.8550000000,1.0000004432
6,5,fu,1.5950000000,-2.8550000000,1.0000004432
6,6,gd,2.8550000000,-2.8550000000,1.0000004432
6,7,fu,4.1150000000,-2.8550000000,1.0000004432
6,8,fu,5.1988161543,-2.8550000000,2.0000008864
7,0,fu,-4.7050000000,-4.1150000000,1.0000004432
7,1,fu,-3.4450000000,-4.1150000000,1.0000004432
7,2,fu,-2.1850000000,-4.1150000000,1.0000004432
7,3,fu,-0.9250000000,-4.1150000000,1.0000004432
7,4,fu,0.3350000000,-4.1150000000,1.0000004432
7,5,fu,1.5950000000,-4.1150000000,1.0000004432
7,6,fu,2.8550000000,-4.1150000000,1.0000004432
7,7,fu,4.1150000000,-4.1150000000,1.0000004432
7,8,fu,5.1988161543,-4.1150000000,2.0000008864
8,0,fu,-4.7050000000,-5.2082225971,2.0000008864
8,1,fu,-3.4450000000,-5.2082225971,2.0000008864
8,2,gt,-2.1850000000,-5.1826820905,1.9999996516
8,3,gd,-0.9250000000,-5.2082225971,2.0000008864
8,4,fu,0.3350000000,-5.2082225971,2.0000008864
8,5,gt,1.5950000000,-5.1826820905,1.9999996516
8,6,fu,2.8550000000,-5.2082225971,2.0000008864
8,7,fu,4.1150000000,-5.2082225971,2.0000008864
8,8,it,5.1722098948,-5.1828441327,0.9999999952
